Text
"Yukkk ah bersama Omnibus Law kita ikutan menolak Demo, gmn mau kelar Coronanya klo kita juga ikut kerumunan2, mending di rumah aja ngopi2 cantekkkk ☕ #DukungOBLTolakAksiDemo @suncukk @masagitusih2 @JumpingLompat"
Yuk kita sukseskan RUU Omnibus Law untuk Indonesia yang lebih baik 
yuk kita dukung #OmnibusLaw 
Yuk gaes.. be smart. Bisa kok kritisi Omnibus Law tanpa aksi demo yg justru membahayakan. Demo - nambah pasien - krisis ekonomi - susah nyari kerja. Siapa yg rugi ? #DukungOBLTolakAksiDemo
Yuk Dukung Omnibus Law 
Yuk dukung omnibus law
"Yg merasa pernah nyinyir sm pemerintah dan @DPR_RI karena memikirkan ekonomi, karena membahas Omnibus Law saat pandemi, kalian ga berhak mengeluh sekarang. "
"Yeah, it's more productive with Indonesia omnibus law"
Yang outsourcing tidak perlu khawatir #omnibuslaw #omnibuslawciptaker #ciptakerja #ciptaker #umkm #yangpastipastiaja #dukungomnibuslaw
yakin pemerintah akan memberikan yang terbaik #OmnibusLaw 
With these conditions the Omnibus Law Ciptaker Bill could be the main solution to facilitate investment after the end of the corona outbreak with the condition of Indonesia which so far has an investment climate c #WaspadaDemoTularkanCovid
Wis ra sah ditakoni maning untunge omnibus law #dukungomnibuslaw #ruuciptakerja #indonesiamaju
Waspadai Korbankan Buruh ditengah Pandemi Covid-19 Ingat Pandemi ini belum berakhir ! Faktanya pasal-pasal dalam RUU Cipta Kerja banyak yg menguntungkan dan semakin memperkuat dan menjamin kesejahteraan buruh. #omnibuslaw 
Waspada pembusukan RUU Omnibus Law dari dalam oleh Mafia Regulasi dan para Pejabat yang terbiasa KKN.. #DukungOBLTolakAksiDemo
Warganet Dukung Omnibuslaw 
Warga Indonesia Telah Siap Dengan Kehidupan New Normal. . . #HTICoronaFPImusuhRakyat #staysafe #omnibuslaw #RUUCiptaKerja #KawalSahkanOmnibuslaw
waktu kerja pada RUU Cipta Kerja menguntungkan pekerja. dalam pasal 77 ayat (20) waktu kerja paling lama 8 hari 1 hari dan 40 jam 1 minggu. #OmnibusLaw 
Waktu kerja menguntungkan para pekerja #OmnibusLaw 
"wajib dibayar, uang pesangon dan penghargaan masa kerja. #OmnibusLaw "
"Wajib bayar uang lembur, mantap #OmnibusLaw "
UU Omnibus law Cipta Kerja sangat penting untuk mendukung daya saing industri strategis #OBLSejahterakanBuruh #OmnibusLaw #RUUCiptaKerja #Ciptaker #RUUOmnibusLaw #IndonesiaMaju #01indonesiamaju #Istanamerdeka #RUUPekerja #JokowiPresidenku #Merdeka #Jokowi #jokowidodo
UU ITE bermasalah. Apakah RUU Ciptaker juga nantinya? Kayaknya sih ngga kalau betul2 dijalanin. Ini surveinya sih dah banyak yang setujuu. #OmnibusLaw 
utamakan kesejahteraan pekerja #OmnibusLaw 
Usaha kecil semakin didukung 🦾 #omnibuslaw #omnibuslawciptaker #ciptakerja #ciptaker #umkm #yangpastipastiaja #dukungomnibuslaw
Upaya peningkatan Produksi pertanian dalam Negeri. #OmnibusLaw #RuuCiptaKerja #IndonesiaMaju
Upaya peningkatan produksi pertanian dalam negeri melalui strategi perlindungan petani. #omnibusLaw #ruuciptakerja #omnibuslawsolusirakyat #indonesiamaju #PermudahInvestasiEraPandemi
Upaya peningkatan produksi pertanian dalam negeri melalui perlindungan petani dengan omnibuslaw. 
Upaya Peningkatan Produksi pertanian dalam negeri . .. . . . . #HTICoronaFPImusuhRakyat #OBLSejahterakanBuruh #OmnibusLaw #RUUCiptaKerja #Ciptaker #RUUOmnibusLaw #IndonesiaMaju #01indonesiamaju #Istanamerdeka #RUUPekerja #JokowiPresidenku #Merdeka #Jokowi #jokowidodo #Ifl #fff
"Upaya merampungkan pembahasan omnibuslaw RUU cipta kerja diharapkan segera terselesai. Dimasa pandemi COVID 19 ini kebijakan yang sederhana, tepat sasaran sangat penting. Hadapi tantangan dinamika ekonomi global yang kompleks. #OmnibusLawSolusiPekerja Yuk ikutan @xxhanj @Aufanisa"
"Upaya merampungkan pembahasan omnibuslaw RUU cipta kerja diharapkan segera terselesai. Dimasa pandemi COVID 19 ini kebijakan yang sederhana, tepat sasaran sangat penting. Hadapi tantangan dinamika ekonomi global yang kompleks. #OmnibusLawSolusiPekerja @meilani"
"Upaya merampungkan pembahasan omnibuslaw RUU cipta kerja diharapkan segera terselesai. Dimasa pandemi COVID 19 ini kebijakan yang sederhana, tepat sasaran sangat penting. Hadapi tantangan dinamika ekonomi global yang kompleks. #OmnibusLawSolusiPekerja"
Upaya konkrit pemerintah meningkatkan taraf hidup pekerja yg layak bagi kemanusiaan ada di pasal 88 ayat 22 RUU Ciptakerja #Omnibuslaw #DukungOmnibuslaw
upaya kongkrit #OmnibusLaw 
Upahnya harus sesuai #omnibuslaw #omnibuslawciptaker #ciptakerja #ciptaker #umkm #yangpastipastiaja #dukungomnibuslaw
